imageID	lakeID	lakeDOC	DOClevel	fishStdLength
OB 105.jpg	Oxbow	11.12	high	
OB 107.jpg	Oxbow	11.12	high	
OB 109.jpg	Oxbow	11.12	high	
OB 119.jpg	Oxbow	11.12	high	
OB 126.jpg	Oxbow	11.12	high	
OB 99.jpg	Oxbow	11.12	high	
OB FN 001.jpg	Oxbow	11.12	high	
OB FN 002.jpg	Oxbow	11.12	high	
OB FN 006.jpg	Oxbow	11.12	high	
OB FN 012.jpg	Oxbow	11.12	high	
OB shock 002.jpg	Oxbow	11.12	high	
OB shock 006.jpg	Oxbow	11.12	high	
OB shock 014.jpg	Oxbow	11.12	high	
PS 139.jpg	Papoose	6.485	intermediate	
PS 140.jpg	Papoose	6.485	intermediate	
PS 141.jpg	Papoose	6.485	intermediate	
PS FN 008.jpg	Papoose	6.485	intermediate	
PS FN 018.jpg	Papoose	6.485	intermediate	
PS FN 019.jpg	Papoose	6.485	intermediate	
PS FN 027.jpg	Papoose	6.485	intermediate	
RB 159.jpg	Red Bass	18.9	high	
RB 166.jpg	Red Bass	18.9	high	
RS FN4 009.jpg	Red Bass	18.9	high	
RS FN4 011.jpg	Red Bass	18.9	high	
RS FN4 013.jpg	Red Bass	18.9	high	
RS FN8 002.jpg	Red Bass	18.9	high	
SQ FN3 001.jpg	Squaw	23.85	high	
SQ FN3 002.jpg	Squaw	23.85	high	
SQ FN9 005.jpg	Squaw	23.85	high	
SQ FN9 008.jpg	Squaw	23.85	high	
SQ FN9 017.jpg	Squaw	23.85	high	
SQ FN9 020.jpg	Squaw	23.85	high	
SQ FN9 024.jpg	Squaw	23.85	high	
TO FN1 001.jpg	Towanda	5.293	low	
TO FN1 003.jpg	Towanda	5.293	low	
TO FN1 004.jpg	Towanda	5.293	low	
TO FN1 006.jpg	Towanda	5.293	low	
TO FN1 007.jpg	Towanda	5.293	low	
TO FN1 013.jpg	Towanda	5.293	low	
TO shock 008.jpg	Towanda	5.293	low	
TO shock 012.jpg	Towanda	5.293	low	
TO shock 013.jpg	Towanda	5.293	low	
