"","baseWidth"
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN7 06-29 009",21.2156340679824
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN7 06-29 010",16.4578636456537
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN7 06-29 014",17.7660579304755
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN8 06-29 002",18.0303772519385
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN8 06-29 003",17.0408022055989
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN8 06-29 004",15.5435484813177
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN8 06-29 005",15.8876014849461
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN8 06-29 006",14.4031054559345
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN8 06-29 007",20.6305150039485
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN8 06-29 008",14.034551600822
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN8 06-29 015",11.0251959205616
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MK shock 07-26 001",16.2636385366989
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MK shock 07-26 005",12.8245887369344
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MK shock 07-26 015",14.2368576444879
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MK shock 07-31  011",12.2434878279473
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MK shock 07-31 001",13.1101528418521
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MK shock 07-31 003",13.2814462118434
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MK shock 07-31 005",13.126835336224
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MK shock 07-31 006",20.5994591716764
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MK shock 07-31 007",11.4590842167867
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MK shock 07-31 009",17.6292938218465
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MK shock 07-31 013",21.2564461212326
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MK shock 07-31 014",14.8169757605502
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB FN 06-07 001",13.9000425504053
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB FN 06-07 002",17.219565938518
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB FN 06-07 004",21.1742291493227
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB FN 06-07 005",13.3315230614175
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB FN 06-07 006",16.8206394781745
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB FN 06-07 007",19.3924971961471
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB FN 06-07 008",17.049010584977
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB FN 06-07 011",14.4524223229372
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB FN 06-07 012",21.5997313513496
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB FN 06-07 014",15.3910756312899
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB FN 06-07 015",15.3356907750521
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB shock 07-11 001",13.4652424615647
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB shock 07-11 002",14.4527236677591
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB shock 07-11 003",11.5330061572626
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB shock 07-11 005",18.8898819053885
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB shock 07-11 006",14.7186594406804
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB shock 07-11 008",12.2885364560727
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB shock 07-11 010",16.5317933775828
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB shock 07-11 012",12.0348613306189
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB shock 07-11 014",14.5989259212352
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 001",16.4895884032189
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 002",12.4388186532703
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 003",14.284614342105
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 005",13.0272975071893
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 007",13.8627069286813
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 008",13.6307967054683
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 010",13.0664786927187
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 012",12.7059446355816
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 013",13.7668292683033
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 014",14.0740618403258
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 018",12.6466356596542
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 019",13.1881128945603
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 024",14.0726692497547
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 027",13.4977494481847
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\RS FN4 002",16.0414296995954
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\RS FN4 07-19 001",20.7059790177603
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\RS FN4 07-19 007",19.8131804699524
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\RS FN4 07-19 008",18.8303907941119
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\RS FN4 07-19 009",21.9787020390874
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\RS FN4 07-19 010",18.7780763718948
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\RS FN4 07-19 011",21.9852402091349
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\RS FN4 07-19 012",21.5473441862284
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\RS FN4 07-19 013",15.5162055227447
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\RS FN4(2) 07-20 002",13.4964184026605
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\RS FN5 07-21 002",16.1510456044873
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\RS FN8 07-20 001",15.5340189662761
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\RS FN8 07-20 002",19.8713731129984
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN3 06-13 001",22.5939111691546
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN3 06-13 002",17.0898022134889
