"","PecFinLengths"
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 019",32.1586534203857
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 021",23.0854756448997
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 026",28.2624265100957
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 029",31.3580023977632
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-18 001",28.6970718422491
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT FN 06-05 001",41.6367359285046
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT FN 06-05 003",39.4678467389087
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT FN 06-05 004",34.8591090268304
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT FN 06-05 005",37.8437038795104
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT FN 06-05 007",32.1144902337718
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT FN 06-05 008",33.3856921301518
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT FN 06-05 009",32.6964141117153
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT FN 06-05 011",40.0929980268265
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT FN 06-05 012",26.2909900193121
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT FN 06-05 013",35.4184639683511
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT FN 06-05 015",35.9574805689359
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT shock 07-25 001",33.7231922925529
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT shock 07-25 002",21.844337986268
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT shock 07-25 003",26.3566932709352
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT shock 07-25 004",22.2578156633809
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT shock 07-25 005",28.6121285216071
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT shock 07-25 012",25.5845086052601
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LT shock 07-25 014",20.8731260310328
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN7  06-29 011",38.1778854914212
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN7 06-29 001",40.6287546766646
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN7 06-29 003",39.9884569861343
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN7 06-29 005",36.8728888681168
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN7 06-29 006",35.3487822361482
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN7 06-29 007",42.4165493613262
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN7 06-29 009",43.4931127602327
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN7 06-29 010",39.2539501596565
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN7 06-29 014",37.3231224299176
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN8 06-29 002",35.8390562651574
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN8 06-29 003",35.3314520409012
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN8 06-29 004",33.1674348029391
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN8 06-29 005",30.0595425785378
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN8 06-29 006",38.9475319952719
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN8 06-29 007",41.2339072752521
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN8 06-29 008",32.2978607212406
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MC FN8 06-29 015",20.8975239917987
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MK shock 07-26 001",36.6147475216979
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MK shock 07-26 005",25.4831069184632
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MK shock 07-26 015",32.3054280155936
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MK shock 07-31  011",23.1828055002081
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MK shock 07-31 001",32.3925853379336
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MK shock 07-31 003",27.2688813125237
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MK shock 07-31 005",29.3811372963268
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MK shock 07-31 006",35.0502856879217
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MK shock 07-31 007",26.5483986502387
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MK shock 07-31 009",29.2083845042813
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MK shock 07-31 013",34.9118395982346
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\MK shock 07-31 014",24.6051440531512
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB FN 06-07 001",35.1299209722584
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB FN 06-07 002",33.2967362614453
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB FN 06-07 004",41.1550775142072
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB FN 06-07 005",26.1591508775879
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB FN 06-07 006",33.2122632064996
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB FN 06-07 007",36.4977249961002
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB FN 06-07 008",33.7004711239151
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB FN 06-07 011",27.1565911402736
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB FN 06-07 012",41.2894666282332
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB FN 06-07 014",34.6895626433511
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB FN 06-07 015",27.4566171221698
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB shock 07-11 001",30.6075945964357
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB shock 07-11 002",29.4685564342424
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB shock 07-11 003",30.2516092895019
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB shock 07-11 005",33.470947365236
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB shock 07-11 006",30.0595425785378
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB shock 07-11 008",28.1119722642943
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB shock 07-11 010",34.1617129858643
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB shock 07-11 012",32.3080230713686
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\OB shock 07-11 014",34.2922820736744
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\PS FN 06-14 001",24.833481695196
