"fishID","imageFile","pecFinBaseWidth","pecFinLength","lakeID","DOC","stdLength","finLengthSS","finBaseSS","finRatioSS"
"CR_FN1_20180715_1100_FN_blgMorphologyDOC.20180626_11","CR FN1 07-15 011.jpg",3.987315756,18.0124679033718,"Crampton",5,79.4777496058488,24.7639968915853,5.70408950086333,4.34144606038127
"CR_FN7_20180715_1155_FN_blgMorphologyDOC.20180626_4","CR FN7 07-15 004.jpg",5.711150653,28.9443936557669,"Crampton",5,117.199394681372,29.5372818227469,5.84290730122102,5.05523711056897
"CR_FN9_20180715_1230_FN_blgMorphologyDOC.20180626_2","CR FN9 07-15 002.jpg",6.731711492,37.4014033068279,"Crampton",5,134.625515138142,34.3159614484235,6.11034818642886,5.61604026504406
"CR_FN9_20180715_1230_FN_blgMorphologyDOC.20180626_3","CR FN9 07-15 003.jpg",5.590825348,31.7836558660265,"Crampton",5,119.5567,31.9428159216722,5.62232680569494,5.68142283890663
"CR_FN9_20180715_1230_FN_blgMorphologyDOC.20180626_4","CR FN9 07-15 004.jpg",3.598035004,19.6761925036324,"Crampton",5,80.6129055435295,26.7585319095261,5.08457637976713,5.26268658604587
"FD_WholeShoreline_20180724_2145_BE_blgMorphologyDOC.20180626_3","FD shock 07-31 003.jpg",5.548600329,32.8207631820163,"Found",6.21,115.461007454118,33.8793492552634,5.75030467796916,5.89174855117913
"FD_WholeShoreline_20180724_2145_BE_blgMorphologyDOC.20180626_5","FD shock 07-31 005.jpg",4.967555609,30.8587275993357,"Found",6.21,117.113827405008,31.5084829653173,5.08536244615021,6.19591686904642
"FD_WholeShoreline_20180724_2145_BE_blgMorphologyDOC.20180626_7","FD shock 07-31 007.jpg",6.96049014,29.7714774470465,"Found",6.21,110.850488179935,31.7079125498379,7.47176991003387,4.24369499216742
"FD_WholeShoreline_20180724_2145_BE_blgMorphologyDOC.20180626_8","FD shock 07-31 008.jpg",4.223744893,23.5928553848406,"Found",6.21,117.905832390514,23.9653500406985,4.29882968982022,5.57485449992339
"FD_WholeShoreline_20180724_2145_BE_blgMorphologyDOC.20180626_9","FD shock 07-31 009.jpg",3.059482125,22.0117354620212,"Found",6.21,96.1554843961071,26.1467455198799,3.71316618785051,7.04163083393146
"FD_WholeShoreline_20180724_2145_BE_blgMorphologyDOC.20180626_11","FD shock 07-31 011.jpg",5.084215622,35.3762632967361,"Found",6.21,105.026995089072,39.2702842816673,5.71791366084016,6.86793935882851
"FD_WholeShoreline_20180724_2145_BE_blgMorphologyDOC.20180626_12","FD shock 07-31 012.jpg",6.525902373,37.6915925613392,"Found",6.21,69.8789473636373,57.1989323613577,10.4327095441982,5.48265358285251
