"","fishID","X13","X14","Y13","Y14","fishStdLength","lakeID","captureMethod","basin","DOC","DOClevel","X","Y","hyp_dist","opp_dist","sinAngle","ang_deg"
"40","BH FN1 002 06-28.jpg",79.7742,76.7826,50.0688,58.2036,112.955830015985,"BH","Fyke_Net",7,10.9,"high",-2.99159999999999,8.1348,8.66744723664355,2.99159999999999,0.345153528867455,20.1911680186048
"41","BH FN1 003 06-28.jpg",85.6523,84.0253,54.6873,61.5101,99.2378174941388,"BH","Fyke_Net",7,10.9,"high",-1.627,6.8228,7.01410926918023,1.627,0.231961028487107,13.4125532321168
"42","BH FN1 004 06-28.jpg",84.5501,80.7713,45.1354,51.066,93.2384198275582,"BH","Fyke_Net",7,10.9,"high",-3.7788,5.93060000000001,7.03216508623056,3.7788,0.537359398373502,32.5040619258917
"43","BH FN3 001 06-28.jpg",99.2978,96.8311,64.869,69.0151,71.8676190619948,"BH","Fyke_Net",7,10.9,"high",-2.46669999999999,4.1461,4.82439157821999,2.46669999999999,0.511297634117441,30.7503032138533
"44","BH FN3 002 06-28.jpg",79.3018,75.4181,47.8645,57.7838,131.5666054168,"BH","Fyke_Net",7,10.9,"high",-3.8837,9.9193,10.652494458107,3.8837,0.364581273923532,21.3818158625457
"45","BH FN3 003 06-28.jpg",83.1856,80.9288,50.8035,59.1483,117.739526908723,"BH","Fyke_Net",7,10.9,"high",-2.2568,8.3448,8.644584043203,2.2568,0.261065192809879,15.1332762985579
"46","BH FN3 004 06-28.jpg",86.6494,81.926,54.8447,60.9852,107.027643894136,"BH","Fyke_Net",7,10.9,"high",-4.7234,6.1405,7.74701541304778,4.7234,0.609705770307968,37.568231282383
"47","BH FN3 005 06-28.jpg",86.3345,83.0806,59.4108,65.6038,95.7699037736282,"BH","Fyke_Net",7,10.9,"high",-3.2539,6.193,6.99579260770358,3.2539,0.465122421784902,27.7181452636894
"48","BH FN3 006 06-28.jpg",83.5529,80.7189,56.8391,63.0321,90.5717889895634,"BH","Fyke_Net",7,10.9,"high",-2.83399999999999,6.193,6.81063910363777,2.83399999999999,0.416113665233893,24.5894688845572
"49","BH FN3 007 06-28.jpg",75.4181,73.0039,56.2618,62.5597,97.1067292787683,"BH","Fyke_Net",7,10.9,"high",-2.41419999999999,6.2979,6.74476879144126,2.41419999999999,0.357936657971654,20.9735330814732
"50","BH FN3 008 06-28.jpg",80.6664,77.255,56.5767,62.9796,102.294684879763,"BH","Fyke_Net",7,10.9,"high",-3.4114,6.4029,7.2549830027368,3.4114,0.470214747396805,28.0482371544695
"51","BH FN3 009 06-28.jpg",84.4451,84.2877,53.8476,59.4632,96.6223124023121,"BH","Fyke_Net",7,10.9,"high",-0.157399999999996,5.6156,5.6178054540897,0.157399999999996,0.0280180581699229,1.605526589524
"52","BH FN3 010 06-28.jpg",88.3289,87.2267,57.5739,63.0846,81.7092100970876,"BH","Fyke_Net",7,10.9,"high",-1.10220000000001,5.5107,5.61984513398724,1.10220000000001,0.196126400945502,11.3105323104875
"53","BH FN3 011 06-28.jpg",88.8012,86.9118,61.2477,64.974,60.7953918915735,"BH","Fyke_Net",7,10.9,"high",-1.88939999999999,3.7263,4.1779353812619,1.88939999999999,0.452232939856845,26.8870375567154
"54","BH FN3 012 06-28.jpg",88.119,85.6523,59.8306,64.3966,77.6057439815507,"BH","Fyke_Net",7,10.9,"high",-2.4667,4.56600000000001,5.18969795749233,2.4667,0.475307044880877,28.3793435703689
"55","BH FN3 013 06-28.jpg",88.5913,87.4367,57.5739,62.3498,68.9239079595027,"BH","Fyke_Net",7,10.9,"high",-1.1546,4.7759,4.91348368980706,1.1546,0.234986024761861,13.5907989832223
"56","BH FN4 001 06-28.jpg",90.9006,89.4835,56.7866,61.2477,69.0175051697756,"BH","Fyke_Net",7,10.9,"high",-1.41709999999999,4.4611,4.68076763148952,1.41709999999999,0.302749487170983,17.6228187791534
"57","BH FN4 002 06-28.jpg",84.4451,83.0806,52.6929,60.9852,113.998995207502,"BH","Fyke_Net",7,10.9,"high",-1.36449999999999,8.2923,8.40381458267613,1.36449999999999,0.162366742694777,9.34429721405821
"58","BH FN4 003 06-28.jpg",84.4451,82.3458,47.6021,56.5242,122.497429400988,"BH","Fyke_Net",7,10.9,"high",-2.0993,8.9221,9.16574759089514,2.0993,0.229037509399163,13.2404125345259
"59","BH FN4 004 06-28.jpg",83.9728,82.6607,45.3978,53.1128,110.995680783083,"BH","Fyke_Net",7,10.9,"high",-1.3121,7.715,7.82577992343256,1.3121,0.167663800009404,9.65201513877413
"60","CR FN1 001.jpg",89.9559,87.9615,59.2008,62.5597,64.9736583635245,"CR","Fyke_Net",4,5,"low",-1.9944,3.3589,3.90638459064132,1.9944,0.510548808936545,30.7003925459799
"61","CR FN1 002.jpg",78.0422,73.6861,61.615,68.5428,124.827730333047,"CR","Fyke_Net",4,5,"low",-4.3561,6.9278,8.18352125004878,4.3561,0.532301422199402,32.1610849362775
"62","CR FN1 003.jpg",83.1856,78.8819,54.7398,59.5157,108.588121537349,"CR","Fyke_Net",4,5,"low",-4.30369999999999,4.7759,6.42892327687926,4.30369999999999,0.66942780534925,42.0229178952103
"63","CR FN1 004.jpg",88.0665,86.2821,62.5073,65.9186,64.9022072346542,"CR","Fyke_Net",4,5,"low",-1.78440000000001,3.4113,3.8498118200764,1.78440000000001,0.463503174543371,27.6133930175103
"64","CR FN1 005.jpg",89.431,87.8565,61.0377,65.8137,83.2392399274525,"CR","Fyke_Net",4,5,"low",-1.5745,4.776,5.02883945359165,1.5745,0.313094107403941,18.2457950737435
"65","CR FN1 006.jpg",97.9858,96.3063,52.7454,57.2065,77.1095262859266,"CR","Fyke_Net",4,5,"low",-1.6795,4.4611,4.76677390485431,1.6795,0.352334730684344,20.6301843325397
"66","CR FN1 007.jpg",87.4892,86.492,62.2448,65.6562,61.568964804437,"CR","Fyke_Net",4,5,"low",-0.997199999999992,3.4114,3.55416063227311,0.997199999999992,0.280572574842297,16.2943807268822
"67","CR FN1 008.jpg",83.2905,80.6139,58.3611,64.6591,102.729921772481,"CR","Fyke_Net",4,5,"low",-2.67659999999999,6.29799999999999,6.84317116255321,2.67659999999999,0.391134451618969,23.0251067260608
"68","CR FN1 009.jpg",85.7572,83.0806,56.2093,61.825,107.226411933488,"CR","Fyke_Net",4,5,"low",-2.67659999999999,5.6157,6.22095443240023,2.67659999999999,0.430255522538409,25.4837773352394
"69","CR FN1 010.jpg",96.8836,95.2566,63.1895,66.3385,56.3885861306169,"CR","Fyke_Net",4,5,"low",-1.627,3.14899999999999,3.54447880512776,1.627,0.459023763281143,27.3241306550836
"70","CR FN1 011.jpg",88.2239,86.1771,63.242,67.5456,79.4777496058488,"CR","Fyke_Net",4,5,"low",-2.0468,4.3036,4.76553913004604,2.0468,0.42950019801437,25.4358456371323
