"fishID","pecFinInsertionAngle","stdLength","lakeID","DOC","basin"
"FD Electro 013.jpg",70.9535692409782,69.0065987176589,"Found",6.21,7
"FD Electro 014.jpg",75.7684770511039,104.05519217324,"Found",6.21,7
"FD Electro 015.jpg",65.9929241372916,102.080792607522,"Found",6.21,7
"FD Electro 016.jpg",68.1983552368613,68.2850387825913,"Found",6.21,7
"FD Electro 017.jpg",85.2363583092738,114.907727563859,"Found",6.21,7
"FD Electro 018.jpg",77.471106667155,109.724682625743,"Found",6.21,7
"FD Electro 019.jpg",82.3674672831604,74.3267347287637,"Found",6.21,7
"FD Electro 020.jpg",65.8723863704007,77.7522974787241,"Found",6.21,7
"FD Electro 021.jpg",73.6434228733465,77.4037500056037,"Found",6.21,7
"FD Electro 022.jpg",79.6398970935262,77.1012187431561,"Found",6.21,7
"FD Electro 023.jpg",77.3994084391559,77.7881972842282,"Found",6.21,7
"FD Electro 024.jpg",86.2914040762701,82.8828423114217,"Found",6.21,7
"FD Electro 025.jpg",66.5282276659041,71.6140080792159,"Found",6.21,7
"FD Electro 026.jpg",54.6687385161099,83.3443516090923,"Found",6.21,7
"FD Electro 027.jpg",79.742921278964,79.0215830462159,"Found",6.21,7
"FD Electro 028.jpg",64.798876354525,78.8307294479761,"Found",6.21,7
"FD Electro 029.jpg",77.5594473586923,56.1119530411302,"Found",6.21,7
"FD Electro 030.jpg",57.3397486080917,67.2185272108814,"Found",6.21,7
"HB AN 001 07-24.jpg",49.3990799582349,161.727669470162,"Hummingbird",24.5,4
"HB AN 001.jpg",68.5827123571759,180.237789118292,"Hummingbird",24.5,4
"HB AN 002 07-24.jpg",81.4424147348,153.411653951876,"Hummingbird",24.5,4
"HB AN 002.jpg",68.995153554898,178.387462944233,"Hummingbird",24.5,4
"HB AN 003 07-24.jpg",74.180366264338,137.554672202292,"Hummingbird",24.5,4
"HB AN 003.jpg",69.6112070574145,170.937615732816,"Hummingbird",24.5,4
"HB AN 004 07-24.jpg",79.2657097870497,158.078554310254,"Hummingbird",24.5,4
"HB AN 004.jpg",55.7133847847396,174.581648285551,"Hummingbird",24.5,4
"HB AN 005 07-24.jpg",80.9465966940083,150.976170918493,"Hummingbird",24.5,4
"HB AN 005.jpg",77.6259179416851,169.612822707394,"Hummingbird",24.5,4
"HB AN 006 07-24.jpg",58.7176465537563,149.416892076699,"Hummingbird",24.5,4
"HB AN 006.jpg",71.5653819974894,169.288175353921,"Hummingbird",24.5,4
"HB AN 007 07-24.jpg",74.5053004735881,154.573079080058,"Hummingbird",24.5,4
"HB AN 007.jpg",69.3817321901868,159.0741235191,"Hummingbird",24.5,4
"HB AN 008 07-24.jpg",79.4003129625942,154.199137092689,"Hummingbird",24.5,4
"HB AN 008.jpg",61.9427882101507,164.551079356229,"Hummingbird",24.5,4
"HB AN 009 07-24.jpg",82.1170973113849,156.338762131501,"Hummingbird",24.5,4
"HB AN 009.jpg",75.0185425739358,167.052683448815,"Hummingbird",24.5,4
"HB AN 010 07-24.jpg",66.3224048487003,145.867154794662,"Hummingbird",24.5,4
"HB AN 010.jpg",61.9087793333657,152.834661586958,"Hummingbird",24.5,4
"HB AN 011 07-24.jpg",79.1601831904327,152.991468080707,"Hummingbird",24.5,4
"HB AN 011.jpg",79.846212546321,166.632389030014,"Hummingbird",24.5,4
"HB AN 012 07-24.jpg",67.6380426196415,128.518521103536,"Hummingbird",24.5,4
"HB AN 012.jpg",68.7226262644809,159.99626894756,"Hummingbird",24.5,4
"HB AN 013 07-24.jpg",70.2830398581122,143.646660458954,"Hummingbird",24.5,4
"HB AN 014 07-24.jpg",50.1534322728253,130.263376769144,"Hummingbird",24.5,4
"HB AN 015 07-24.jpg",68.3139292512158,148.095174992739,"Hummingbird",24.5,4
"HB FN3 001.jpg",71.304604828366,144.506794218992,"Hummingbird",24.5,4
"HB FN9 001.jpg",57.8410442194133,134.410124226191,"Hummingbird",24.5,4
"HB FN9 002.jpg",71.5646353182662,123.417328761767,"Hummingbird",24.5,4
"LC Electro1 001.jpg",66.3999311070405,79.7599523829472,"Little_Crooked",NA,NA
"LC Electro1 002.jpg",64.0575110602179,88.9876217641532,"Little_Crooked",NA,NA
"LC Electro1 003.jpg",74.7736362774625,120.965267022315,"Little_Crooked",NA,NA
"LC Electro1 004.jpg",54.9751160242994,100.932218421127,"Little_Crooked",NA,NA
"LC Electro1 005.jpg",27.84718326484,90.8265705503626,"Little_Crooked",NA,NA
"LC Electro1 006.jpg",68.3625806280789,99.3435606674635,"Little_Crooked",NA,NA
"LC Electro1 007.jpg",58.6711866678177,87.2227863219813,"Little_Crooked",NA,NA
"LC Electro1 008.jpg",59.8683212918371,113.963478147738,"Little_Crooked",NA,NA
"LC Electro1 009.jpg",57.5631501698498,93.4974646101701,"Little_Crooked",NA,NA
"LC Electro1 010.jpg",50.02391173208,93.5291689810724,"Little_Crooked",NA,NA
"LC Electro1 011.jpg",58.6711941991712,73.5847623859723,"Little_Crooked",NA,NA
"LC Electro1 012.jpg",54.6191790523328,60.0097598752903,"Little_Crooked",NA,NA
"LC Electro1 013.jpg",64.3740869727171,91.4421043310466,"Little_Crooked",NA,NA
"LC Electro1 014.jpg",64.1558499140088,106.815416545787,"Little_Crooked",NA,NA
"LC Electro1 015.jpg",44.5754508232137,65.8160319188266,"Little_Crooked",NA,NA
"LC Electro1 016.jpg",75.8091474686323,69.6307537263528,"Little_Crooked",NA,NA
"LC Electro1 017.jpg",51.8928648964199,88.0782908547276,"Little_Crooked",NA,NA
"LC Electro1 018.jpg",61.1276343228711,97.0572202334788,"Little_Crooked",NA,NA
"LC Electro1 019.jpg",54.8111010659919,64.9747298524588,"Little_Crooked",NA,NA
"LC Electro1 020.jpg",59.3002616845805,112.071139343767,"Little_Crooked",NA,NA
"LC Electro1 021.jpg",55.8643392402349,106.575418106663,"Little_Crooked",NA,NA
"LC Electro1 022.jpg",47.2906100426385,75.4676183244178,"Little_Crooked",NA,NA
"LC Electro1 023.jpg",63.6995739841124,67.4854959309776,"Little_Crooked",NA,NA
"LC Electro1 024.jpg",67.5203439369155,61.5534342543127,"Little_Crooked",NA,NA
"LC Electro1 025.jpg",73.6980410399914,75.8963834349174,"Little_Crooked",NA,NA
"LC Electro1 026.jpg",61.7831483985557,96.7407756762887,"Little_Crooked",NA,NA
"LC Electro1 027.jpg",62.4472533084163,93.8534386290668,"Little_Crooked",NA,NA
"LC Electro1 028.jpg",84.4286385049279,59.7085996671334,"Little_Crooked",NA,NA
"LC Electro2 001.jpg",66.3706222693432,64.9942427192594,"Little_Crooked",NA,NA
"LC Electro3 001.jpg",66.4876455497682,104.64717453663,"Little_Crooked",NA,NA
"LT Electro 1.jpg",73.7866334992666,116.134900447023,"Lost",4.02,7
"LT Electro 10.jpg",56.178374401256,79.5671925741383,"Lost",4.02,7
"LT Electro 11.jpg",61.2604084938173,69.8557661599957,"Lost",4.02,7
"LT Electro 12.jpg",56.5344787895411,87.5992941280351,"Lost",4.02,7
"LT Electro 13.jpg",71.8702069031228,84.7610164276597,"Lost",4.02,7
"LT Electro 14.jpg",67.5891908137318,76.6858198940326,"Lost",4.02,7
"LT Electro 15.jpg",68.0334925729537,82.1623688906911,"Lost",4.02,7
"LT Electro 2.jpg",64.916892457886,74.5809592250596,"Lost",4.02,7
"LT Electro 3.jpg",71.8704926021484,84.2548261682973,"Lost",4.02,7
"LT Electro 4.jpg",77.5295575239577,78.5519106294048,"Lost",4.02,7
"LT Electro 5.jpg",46.3441327726848,95.0869940751626,"Lost",4.02,7
"LT Electro 6.jpg",65.1911680186048,79.2148725705596,"Lost",4.02,7
"LT Electro 7.jpg",79.5921567324206,71.7308427456419,"Lost",4.02,7
"LT Electro 8.jpg",59.1979880666608,80.7285929729981,"Lost",4.02,7
"LT Electro 9.jpg",73.5230489064334,114.477462374958,"Lost",4.02,7
"LT FN 001 06-05.jpg",71.300932190546,148.795948227934,"Lost",4.02,7
"LT FN 002 06-05.jpg",74.5438932433879,148.011342588195,"Lost",4.02,7
"LT FN 003 06-05.jpg",61.7577934987048,129.387733185376,"Lost",4.02,7
"LT FN 004 06-05.jpg",69.6563712898907,118.508389205153,"Lost",4.02,7
"LT FN 005 06-05.jpg",69.274385328307,137.831086911843,"Lost",4.02,7
"LT FN 006 06-05.jpg",68.6163854456485,127.744983651062,"Lost",4.02,7
"LT FN 007 06-05.jpg",50.1556455358035,124.1404515691,"Lost",4.02,7
"LT FN 008 06-05.jpg",57.8630855406746,126.066757784636,"Lost",4.02,7
"LT FN 009 06-05.jpg",71.0535714557599,105.031728802015,"Lost",4.02,7
"LT FN 010 06-05.jpg",72.8635870356545,96.1291152765383,"Lost",4.02,7
"LT FN 011 06-05.jpg",51.9853520635954,136.526582771744,"Lost",4.02,7
"LT FN 012 06-05.jpg",64.8473563141259,88.8050991883349,"Lost",4.02,7
"LT FN 013 06-05.jpg",67.70070050322,125.393174056844,"Lost",4.02,7
"LT FN 014 06-05.jpg",70.5979718164168,124.873975599722,"Lost",4.02,7
"LT FN 015 06-05.jpg",68.9624024000839,117.431224749979,"Lost",4.02,7
"MC FN7 001.jpg",68.8386522370124,150.017599369307,"McCullough",14.3,4
"MC FN7 002.jpg",39.528611246308,137.219567910776,"McCullough",14.3,4
"MC FN7 003.jpg",65.3441443989012,142.443336448744,"McCullough",14.3,4
"MC FN7 004.jpg",62.9280570042557,145.37770597258,"McCullough",14.3,4
"MC FN7 005.jpg",57.1489112073934,137.126975237405,"McCullough",14.3,4
"MC FN7 006.jpg",60.4714233320647,122.940008549739,"McCullough",14.3,4
"MC FN7 007.jpg",61.9279173520277,137.721308964045,"McCullough",14.3,4
"MC FN7 008.jpg",53.9455137961812,121.136764808913,"McCullough",14.3,4
"MC FN7 009.jpg",60.9747419519047,148.384002021276,"McCullough",14.3,4
"MC FN7 010.jpg",64.4744662947828,130.18602753464,"McCullough",14.3,4
"MC FN7 011.jpg",62.7763809501578,133.803280983166,"McCullough",14.3,4
"MC FN7 012.jpg",43.216046850037,138.989892549962,"McCullough",14.3,4
"MC FN7 013.jpg",56.7097250809597,127.921932726527,"McCullough",14.3,4
"MC FN7 014.jpg",55.8688679037357,132.993114414995,"McCullough",14.3,4
"MC FN7 015.jpg",54.5930328590969,139.815101167971,"McCullough",14.3,4
"MC FN8 001.jpg",67.7674494937809,110.999576249146,"McCullough",14.3,4
"MC FN8 002.jpg",60.7858742781885,122.445561452917,"McCullough",14.3,4
"MC FN8 003.jpg",61.2685142178595,121.848235974839,"McCullough",14.3,4
"MC FN8 004.jpg",66.118826447989,115.683012370875,"McCullough",14.3,4
"MC FN8 005.jpg",46.0514461843291,105.293553462546,"McCullough",14.3,4
"MC FN8 006.jpg",58.9814719114114,134.854549587769,"McCullough",14.3,4
"MC FN8 007.jpg",70.649288252344,142.159925833548,"McCullough",14.3,4
"MC FN8 008.jpg",53.5193846956687,129.264742763756,"McCullough",14.3,4
"MC FN8 009.jpg",50.5720715793366,132.096690739549,"McCullough",14.3,4
"MC FN8 010.jpg",59.1329175862224,65.321173608027,"McCullough",14.3,4
"MC FN8 011.jpg",59.0883487593274,138.93700859483,"McCullough",14.3,4
"MC FN8 012.jpg",54.5197412781642,82.8436348942995,"McCullough",14.3,4
"MC FN8 013.jpg",59.5111731714603,94.7949019960989,"McCullough",14.3,4
"MC FN8 014.jpg",66.8642537501101,88.0251084980303,"McCullough",14.3,4
"MC FN8 015.jpg",69.0067472972175,77.7304840130306,"McCullough",14.3,4
"MK Electro 001.jpg",78.4724824143769,114.410414922288,"Muskellunge",NA,NA
"MK Electro 002.jpg",65.1483157574406,88.7834897224704,"Muskellunge",NA,NA
