fishID,lakeID,fishStdLength,DOC,DOClevel,captureMethod, X13, Y13, X14, Y14,basin,X,Y,hyp_dist,opp_dist,sinAngle,ang_deg,fitted
BH FN3 008 06-28.jpg,BH,102.2947525,10.9,high,Fyke_Net,80.6664,56.5767,77.255,62.9796,7,-3.4114,6.4029,7.254983003,3.4114,0.489534088,28.04823715,2.737551
BH FN3 009 06-28.jpg,BH,96.62211525,10.9,high,Fyke_Net,84.4451,53.8476,84.2877,59.4632,7,-0.1574,5.6156,5.617805454,0.1574,0.028021725,1.60552659,2.737551
BH FN3 010 06-28.jpg,BH,81.70901948,10.9,high,Fyke_Net,88.3289,57.5739,87.2267,63.0846,7,-1.1022,5.5107,5.619845134,1.1022,0.197406029,11.31053231,2.737551
BH FN3 011 06-28.jpg,BH,60.79570553,10.9,high,Fyke_Net,88.8012,61.2477,86.9118,64.974,7,-1.8894,3.7263,4.177935381,1.8894,0.469267331,26.88703756,2.737551
BH FN3 012 06-28.jpg,BH,77.60581901,10.9,high,Fyke_Net,88.119,59.8306,85.6523,64.3966,7,-2.4667,4.566,5.189697957,2.4667,0.495312985,28.37934357,2.737551
BH FN3 013 06-28.jpg,BH,68.92368815,10.9,high,Fyke_Net,88.5913,57.5739,87.4367,62.3498,7,-1.1546,4.7759,4.91348369,1.1546,0.23720419,13.59079898,2.737551
BH FN4 001 06-28.jpg,BH,69.01714052,10.9,high,Fyke_Net,90.9006,56.7866,89.4835,61.2477,7,-1.4171,4.4611,4.680767631,1.4171,0.307576211,17.62281878,2.737551
BH FN4 002 06-28.jpg,BH,113.9995033,10.9,high,Fyke_Net,84.4451,52.6929,83.0806,60.9852,7,-1.3645,8.2923,8.403814583,1.3645,0.163088753,9.344297214,2.737551
BH FN4 003 06-28.jpg,BH,122.4978517,10.9,high,Fyke_Net,84.4451,47.6021,82.3458,56.5242,7,-2.0993,8.9221,9.165747591,2.0993,0.231088793,13.24041253,2.737551
BH FN4 004 06-28.jpg,BH,110.9952419,10.9,high,Fyke_Net,83.9728,45.3978,82.6607,53.1128,7,-1.3121,7.715,7.825779923,1.3121,0.168459444,9.652015139,2.737551
CR FN1 001.jpg,CR,64.97346647,5,low,Fyke_Net,89.9559,59.2008,87.9615,62.5597,4,-1.9944,3.3589,3.906384591,1.9944,0.535822932,30.70039255,3.267229
CR FN1 002.jpg,CR,124.8281207,5,low,Fyke_Net,78.0422,61.615,73.6861,68.5428,4,-4.3561,6.9278,8.18352125,4.3561,0.561316823,32.16108494,3.267229
CR FN1 003.jpg,CR,108.5879485,5,low,Fyke_Net,83.1856,54.7398,78.8819,59.5157,4,-4.3037,4.7759,6.428923277,4.3037,0.733438279,42.0229179,3.267229
CR FN1 004.jpg,CR,64.90246063,5,low,Fyke_Net,88.0665,62.5073,86.2821,65.9186,4,-1.7844,3.4113,3.84981182,1.7844,0.481944626,27.61339302,3.267229
CR FN1 005.jpg,CR,83.23937819,5,low,Fyke_Net,89.431,61.0377,87.8565,65.8137,4,-1.5745,4.776,5.028839454,1.5745,0.318449199,18.24579507,3.267229
