1,123,10,0,,,,,,,
, X1, Y1, X2, Y2, X3, Y3, X4, Y4, X5, Y5
Lost 8.jpg,25.5302,66.0704,48.5696,66.9552,60.0729,66.2342,41.7528,58.4015,26.9066,60.0729
LT FN 001.jpg,26.1529,61.0561,53.3544,75.1485,65.1527,76.2955,45.8822,54.436,29.5612,53.0595
LT FN 005.jpg,25.0058,68.4628,39.9503,70.7241,63.7763,70.0359,37.9839,56.7956,25.1697,61.4821
LT FN 007.jpg,32.2486,65.0872,55.9763,69.446,63.7763,68.6267,43.0309,54.5343,32.1831,58.041
LT FN 008.jpg,28.5125,65.2838,52.9612,70.1998,61.1872,69.7082,43.5881,53.9771,28.3486,57.5166
LT FN 009.jpg,28.5781,65.0544,51.9452,67.3485,60.7939,66.562,38.0495,55.6813,29.9873,59.0569
LT FN 011.jpg,27.7587,66.5947,51.1914,70.2981,67.2174,67.6435,37.2629,54.6981,27.1688,59.3519
LT FN 013.jpg,23.4327,60.925,48.2419,69.7082,57.1561,71.9695,41.3923,54.9275,24.5142,54.3704
LT FN 015.jpg,29.168,61.6788,49.9461,73.5754,62.0065,75.8039,44.9973,57.3527,32.8713,54.8948
LT Shock 014.jpg,34.1495,65.8082,47.9797,68.0367,54.862,66.7258,45.9805,61.3511,33.4612,62.7603
MC 38.jpg,23.7277,65.4149,50.0116,66.562,64.2023,62.7275,33.9528,47.9141,22.089,56.7956
MC 40.jpg,33.5268,70.9535,59.483,66.9225,72.5266,63.3502,41.4578,57.1889,29.6596,64.104
MC 43.jpg,33.0024,64.3334,55.9107,67.283,68.1678,69.151,51.3553,56.9922,32.9041,57.5166
MC 44.jpg,47.9141,30.6755,63.088,53.125,75.0829,63.7435,65.3494,34.0184,52.2402,24.547
MC 46.jpg,26.0873,61.4166,51.4208,71.9367,67.4141,73.8703,46.2427,54.3704,25.5957,53.7149
MC 47.jpg,29.594,73.5426,53.9116,69.3804,68.004,66.8897,36.6402,59.1225,25.6285,66.7258
MC 58.jpg,30.2823,62.5309,53.8788,72.8872,67.4796,74.1325,43.2604,56.5662,31.9537,55.6486
MC FN7 005.jpg,28.4797,67.6762,52.7645,67.4796,64.7922,63.6779,39.9503,54.6654,24.4487,60.6628
MC FN7 011.jpg,29.168,65.3494,57.8443,66.4964,66.9552,65.3821,42.8999,57.7788,28.7747,59.5158
MC FN7 014.jpg,23.826,65.7426,47.8814,69.446,61.1872,68.1351,34.8049,56.8612,22.81,58.9914
MC FN8 002.jpg,30.8394,66.0376,53.1906,69.8065,66.562,71.0519,44.2435,55.5175,30.2495,60.0074
MC FN8 003.jpg,28.6764,73.3787,51.257,67.1846,61.9082,62.3342,38.6721,59.3519,25.3663,68.0695
MC FN8 007.jpg,25.3663,66.562,50.6671,71.6746,65.7099,72.9527,43.3587,57.5166,24.973,59.0569
MK 83.jpg,31.8881,69.3804,53.4855,69.0199,63.6452,64.3006,40.1797,59.4502,28.1192,64.0057
MK 85.jpg,34.7394,62.9242,51.3225,70.0687,60.6301,70.9863,44.5713,55.9763,36.0503,58.1065
MK 89.jpg,35.5587,71.4124,54.2065,57.9427,57.2544,55.8124,38.6721,61.3183,33.0352,67.6107
MK 95.jpg,30.315,71.4124,54.1738,67.6762,63.2847,62.6947,44.7679,56.8939,28.2503,66.4964
MK 96.jpg,28.9713,67.9384,44.3419,65.841,52.2402,61.5477,42.0805,61.1872,28.6436,64.9233
MK shock 006.jpg,27.5621,59.4502,47.4881,69.8065,61.1216,68.7905,47.8486,57.025,28.4142,54.4032
MK shock 009.jpg,31.1999,71.3796,50.5032,64.4645,57.746,59.6796,40.3763,56.6317,28.7419,66.7914
OB 102.jpg,29.9873,66.0704,54.1082,69.9048,62.8914,70.3964,42.441,57.4511,30.4461,59.1553
OB 105.jpg,28.5781,64.825,48.2419,66.9552,57.1561,67.4468,38.7377,57.2544,29.3318,59.2536
OB 107.jpg,33.1007,65.7426,57.4838,71.0519,67.0863,72.1989,46.2427,55.6158,32.478,58.3032
OB 109.jpg,32.052,65.0216,53.6166,67.5452,64.53,68.1023,42.6704,58.467,30.8066,59.2864
OB 119.jpg,26.5134,66.0704,50.2082,69.1183,62.1704,68.1023,39.131,55.3864,28.3814,59.7452
OB 126.jpg,32.1503,74.5586,52.6007,64.8905,62.2359,58.3359,36.6074,60.2695,29.4629,69.9704
OB 99.jpg,31.5276,68.0367,49.7166,67.9384,62.2032,66.9552,41.9822,58.9914,29.9545,61.4166
OB FN 001.jpg,32.8385,69.8393,54.3704,67.8073,66.9225,64.825,40.8352,58.9259,30.9705,64.825
OB FN 002.jpg,33.2318,74.1653,51.3225,62.7275,60.1385,54.9603,35.657,57.7788,30.2823,69.4132
OB FN 006.jpg,27.1033,60.7611,47.5208,68.3645,56.8612,73.5754,42.7032,55.3536,28.7747,55.157
