PecFinLengths	fishStdLength	Ratio	rangeDOC	lakeDOC	lakeID
35.83905627	132.8056822	0.269860865	10.0-15.0	14.3	McCullough
35.33145204	132.279409	0.267097142	10.0-15.0	14.3	McCullough
33.1674348	125.586432	0.264100463	10.0-15.0	14.3	McCullough
30.05954258	114.147717	0.263338973	10.0-15.0	14.3	McCullough
38.947532	146.3986612	0.266037487	10.0-15.0	14.3	McCullough
41.23390728	154.3297592	0.267180533	10.0-15.0	14.3	McCullough
32.29786072	140.3309846	0.230154879	10.0-15.0	14.3	McCullough
20.89752399	84.3851223	0.247644649	10.0-15.0	14.3	McCullough
36.61474752	114.6368009	0.319397848	5.0-10.0	6.655	Muskellunge
25.48310692	86.00120506	0.296311045	5.0-10.0	6.655	Muskellunge
32.30542802	114.1545942	0.282997178	5.0-10.0	6.655	Muskellunge
23.1828055	77.47952516	0.299212023	5.0-10.0	6.655	Muskellunge
32.39258534	115.8617424	0.27957965	5.0-10.0	6.655	Muskellunge
27.26888131	87.1449905	0.312913928	5.0-10.0	6.655	Muskellunge
29.3811373	97.41443249	0.301609695	5.0-10.0	6.655	Muskellunge
35.05028569	120.2784571	0.291409505	5.0-10.0	6.655	Muskellunge
26.54839865	93.95731722	0.282558075	5.0-10.0	6.655	Muskellunge
29.2083845	94.31852333	0.309678136	5.0-10.0	6.655	Muskellunge
34.9118396	119.1547865	0.292995696	5.0-10.0	6.655	Muskellunge
24.60514405	85.87100467	0.286536115	5.0-10.0	6.655	Muskellunge
35.12992097	116.6925955	0.301046701	10.0-15.0	11.12	Oxbow
33.29673626	105.394871	0.315923687	10.0-15.0	11.12	Oxbow
41.15507751	130.1601475	0.316188006	10.0-15.0	11.12	Oxbow
26.15915088	128.185766	0.204072197	10.0-15.0	11.12	Oxbow
33.21226321	112.2339124	0.295920034	10.0-15.0	11.12	Oxbow
36.497725	90.1115505	0.405028265	10.0-15.0	11.12	Oxbow
33.70047112	101.0542125	0.333489028	10.0-15.0	11.12	Oxbow
27.15659114	124.0742045	0.218873788	10.0-15.0	11.12	Oxbow
41.28946663	116.2641211	0.355135069	10.0-15.0	11.12	Oxbow
34.68956264	131.0426389	0.264719659	10.0-15.0	11.12	Oxbow
27.45661712	81.38468191	0.337368366	10.0-15.0	11.12	Oxbow
30.6075946	128.5210652	0.238152357	10.0-15.0	11.12	Oxbow
29.46855643	123.233797	0.239127229	10.0-15.0	11.12	Oxbow
30.25160929	114.3821516	0.264478407	10.0-15.0	11.12	Oxbow
33.47094737	98.06835607	0.341302217	10.0-15.0	11.12	Oxbow
30.05954258	116.8383822	0.257274553	10.0-15.0	11.12	Oxbow
28.11197226	124.5912238	0.225633647	10.0-15.0	11.12	Oxbow
34.16171299	116.4930437	0.293251098	10.0-15.0	11.12	Oxbow
32.30802307	157.3492265	0.205326863	10.0-15.0	11.12	Oxbow
34.29228207	119.6999355	0.286485385	10.0-15.0	11.12	Oxbow
24.8334817	104.1678349	0.238398751	5.0-10.0	6.485	Papoose
27.77418469	95.13279158	0.291951747	5.0-10.0	6.485	Papoose
25.74199578	84.37966457	0.305073455	5.0-10.0	6.485	Papoose
25.70214257	107.5499228	0.238978717	5.0-10.0	6.485	Papoose
34.58364237	106.7944015	0.323833852	5.0-10.0	6.485	Papoose
25.91413886	83.50991009	0.310312139	5.0-10.0	6.485	Papoose
28.15284239	123.4297182	0.228088039	5.0-10.0	6.485	Papoose
30.72982814	98.84688109	0.310883134	5.0-10.0	6.485	Papoose
