imageID,fishID,lakeID,basin,DOC,DOCbin,PecFinLengths,baseWidth,fishStdLength,finLengthSS,finBaseSS,lakeSlope,bylake_finlengthSS,bylake_finwidthSS,ss_ratio,fitted_PL,fitted_PW,fitted_PR
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\CR FN1 07-15 002,CR FN1 07-15 002.jpg,Crampton,4,5,low,34.86327856,6.380718888,126.6190925,33.80303337,6.174586691,1.30529,32.77798683,13.18254554,5.47454187,31.70447,1.772536,1.663664
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\CR FN1 07-15 008,CR FN1 07-15 008.jpg,Crampton,4,5,low,27.50806141,4.722722642,104.2034697,30.29374956,5.235924787,1.30529,33.35214583,16.5798388,5.785749565,31.70447,1.772536,1.663664
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\CR FN1 07-15 009,CR FN1 07-15 009.jpg,Crampton,4,5,low,29.13506173,5.656267164,108.7649133,31.19950532,6.08616104,1.30529,33.40355428,15.68046662,5.126302954,31.70447,1.772536,1.663664
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\CR FN1 07-15 011,CR FN1 07-15 011.jpg,Crampton,4,5,low,18.01243336,3.987315756,80.6178325,23.45901298,5.287792797,1.30529,30.52896918,17.29860875,4.436447092,31.70447,1.772536,1.663664
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\CR FN7 07-15 004,CR FN7 07-15 004.jpg,Crampton,4,5,low,28.94446359,5.711150653,118.8811732,29.24505823,5.775337985,1.30529,29.54788342,10.94152919,5.063782987,31.70447,1.772536,1.663664
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\CR FN9 07-15 002,CR FN9 07-15 002.jpg,Crampton,4,5,low,37.40142631,6.731711492,136.5573549,34.51653354,6.179570309,1.30529,31.86162703,11.51607713,5.585587964,31.70447,1.772536,1.663664
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\CR FN9 07-15 003,CR FN9 07-15 003.jpg,Crampton,4,5,low,31.78366549,5.590825348,121.271608,31.69858778,5.575640559,1.30529,31.61398517,14.48027883,5.685192121,31.70447,1.772536,1.663664
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\CR FN9 07-15 004,CR FN9 07-15 004.jpg,Crampton,4,5,low,19.67620268,3.598035004,81.76952555,25.38938789,4.72453698,1.30529,32.73708334,13.71942461,5.373942039,31.70447,1.772536,1.663664
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\FD shock 07-31 003,FD shock 07-31 003.jpg,Found,7,6.21,low,32.82078747,5.548600329,117.1170947,33.48726386,5.669819075,0.02092,32.84191273,17.79079568,5.906231472,33.91736,1.801288,1.745079
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\FD shock 07-31 005,FD shock 07-31 005.jpg,Found,7,6.21,low,30.85868784,4.967555609,118.794628,31.19400668,5.025939887,0.02092,30.86936448,12.12361886,6.206601626,33.91736,1.801288,1.745079
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\FD shock 07-31 007,FD shock 07-31 007.jpg,Found,7,6.21,low,29.77148725,6.96049014,112.4412879,31.1958118,7.317729073,0.02092,29.81605254,14.32510658,4.263045473,33.91736,1.801288,1.745079
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\FD shock 07-31 008,FD shock 07-31 008.jpg,Found,7,6.21,low,23.592855,4.223744893,119.5972185,23.74449292,4.253349657,0.02092,23.5976935,9.54242731,5.582539606,33.91736,1.801288,1.745079
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\FD shock 07-31 009,FD shock 07-31 009.jpg,Found,7,6.21,low,22.01174446,3.059482125,97.53464306,25.31168258,3.552202608,0.02092,22.11038173,10.78186668,7.125630313,33.91736,1.801288,1.745079
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\FD shock 07-31 011,FD shock 07-31 011.jpg,Found,7,6.21,low,35.37624667,5.084215622,106.5335496,38.39966999,5.550360291,0.02092,35.46922673,18.13290053,6.918410333,33.91736,1.801288,1.745079
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\FD shock 07-31 012,FD shock 07-31 012.jpg,Found,7,6.21,low,37.69160231,6.525902373,71.55364,53.06864213,9.405683137,0.02092,38.10664259,17.30270281,5.642189021,33.91736,1.801288,1.745079
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\FD shock 07-31 014,FD shock 07-31 014.jpg,Found,7,6.21,low,24.27188983,4.519143645,105.5486236,26.50671042,4.965568407,0.02092,24.34041321,11.37310145,5.338101954,33.91736,1.801288,1.745079
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\FD shock 07-31 015,FD shock 07-31 015.jpg,Found,7,6.21,low,30.83625704,4.014258304,103.5451285,34.09994979,4.470205864,0.02092,30.93571277,13.95386906,7.628272797,33.91736,1.801288,1.745079
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\FD shock 07-31 016,FD shock 07-31 016.jpg,Found,7,6.21,low,29.40395608,6.207734652,69.26463927,42.28906272,9.152479912,0.02092,29.74796389,14.77364724,4.6205032,33.91736,1.801288,1.745079
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\FD shock 07-31 019,FD shock 07-31 019.jpg,Found,7,6.21,low,32.0424487,4.883556,75.39309686,43.59959679,6.786431151,0.02092,32.35988007,16.13385582,6.42452503,33.91736,1.801288,1.745079
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\FD shock 07-31 022,FD shock 07-31 022.jpg,Found,7,6.21,low,33.74154214,5.939643314,78.20776085,44.82471516,8.045530566,0.02092,34.04968695,17.26640414,5.571380879,33.91736,1.801288,1.745079
