1,218,10,0,
, X1, Y1, X2, Y2, X3, Y3, X4, Y4, X5, Y5
MC FN7  06-29 011.jpg,29.20230,65.73000 ,50.81540,67.08290 ,67.37990,65.89500 ,42.20320,58.04170 ,29.43330,59.88960 
MC FN7 06-29 001.jpg,23.92280,65.76300 ,35.83470,67.14890 ,64.47610,63.28820 ,30.22530,50.18840 ,22.83390,57.18380 
MC FN7 06-29 003.jpg,33.29400,71.33950 ,59.65860,67.41290 ,72.59340,63.94820 ,35.30680,61.04450 ,29.69730,64.70710 
MC FN7 06-29 005.jpg,28.54240,68.10580 ,52.76220,67.94080 ,65.20210,64.14620 ,32.37010,57.34880 ,24.84670,60.97850 
MC FN7 06-29 006.jpg,33.29400,64.83910 ,44.18300,66.65390 ,68.30380,69.72270 ,41.27920,56.91980 ,33.49200,57.90970 
MC FN7 06-29 007.jpg,31.05020,78.69780 ,42.66510,71.73550 ,64.14620,52.16830 ,28.11340,70.18460 ,24.84670,74.96920 
MC FN7 06-29 009.jpg,26.16660,61.70440 ,39.59640,67.77580 ,67.74280,74.47420 ,38.57350,52.79520 ,26.56260,54.24710 
MC FN7 06-29 010.jpg,29.86230,74.01230 ,42.99510,72.65940 ,68.53480,67.28090 ,32.70000,62.16630 ,26.26560,66.95090 
MC FN7 06-29 014.jpg,24.41780,66.25800 ,35.70280,68.83170 ,61.67140,68.53480 ,33.95390,57.15080 ,23.22990,59.49360 
MC FN8 06-29 002.jpg,31.38010,66.71990 ,43.35810,69.29370 ,66.88490,71.60350 ,41.80720,56.55690 ,31.34720,60.18650 
MC FN8 06-29 003.jpg,28.87240,73.94630 ,50.88140,67.97380 ,62.39730,62.79330 ,36.29670,60.58250 ,25.57270,68.53480 
MC FN8 06-29 004.jpg,31.57810,60.58250 ,50.05640,69.42570 ,62.13340,73.48430 ,40.45430,55.99590 ,32.56800,54.84100 
MC FN8 06-29 005.jpg,34.34990,65.00410 ,44.21600,66.98390 ,64.34420,66.98390 ,45.13990,57.64580 ,35.24080,59.22960 
