imageID	lakeID	lakeDOC	DOCrange	DOC	captureMethod	Sex	Basin
FD_Electro_009.jpg	Found	6.21	5.0-10.0	low	Electrofishing	U	7
FD_Electro_010.jpg	Found	6.21	5.0-10.0	low	Electrofishing	F	7
FD_Electro_011.jpg	Found	6.21	5.0-10.0	low	Electrofishing	U	7
FD_Electro_012.jpg	Found	6.21	5.0-10.0	low	Electrofishing	U	7
FD_Electro_013.jpg	Found	6.21	5.0-10.0	low	Electrofishing	U	7
FD_Electro_014.jpg	Found	6.21	5.0-10.0	low	Electrofishing	U	7
FD_Electro_015.jpg	Found	6.21	5.0-10.0	low	Electrofishing	F	7
FD_Electro_016.jpg	Found	6.21	5.0-10.0	low	Electrofishing	F	7
FD_Electro_017.jpg	Found	6.21	5.0-10.0	low	Electrofishing	U	7
FD_Electro_018.jpg	Found	6.21	5.0-10.0	low	Electrofishing	U	7
FD_Electro_019.jpg	Found	6.21	5.0-10.0	low	Electrofishing	U	7
FD_Electro_020.jpg	Found	6.21	5.0-10.0	low	Electrofishing	U	7
FD_Electro_021.jpg	Found	6.21	5.0-10.0	low	Electrofishing	U	7
FD_Electro_022.jpg	Found	6.21	5.0-10.0	low	Electrofishing	U	7
FD_Electro_023.jpg	Found	6.21	5.0-10.0	low	Electrofishing	U	7
FD_Electro_024.jpg	Found	6.21	5.0-10.0	low	Electrofishing	M	7
FD_Electro_025.jpg	Found	6.21	5.0-10.0	low	Electrofishing	M	7
FD_Electro_026.jpg	Found	6.21	5.0-10.0	low	Electrofishing	U	7
FD_Electro_027.jpg	Found	6.21	5.0-10.0	low	Electrofishing	U	7
FD_Electro_028.jpg	Found	6.21	5.0-10.0	low	Electrofishing	U	7
FD_Electro_029.jpg	Found	6.21	5.0-10.0	low	Electrofishing	M	7
FD_Electro_030.jpg	Found	6.21	5.0-10.0	low	Electrofishing	M	7
HB_AN_001_07-24.jpg	Hummingbird	24.5	20.0-25.0	high	Angling	M	4
HB_AN_001.jpg	Hummingbird	24.5	20.0-25.0	high	Angling	F	4
HB_AN_002_07-24.jpg	Hummingbird	24.5	20.0-25.0	high	Angling	M	4
HB_AN_002.jpg	Hummingbird	24.5	20.0-25.0	high	Angling	F	4
HB_AN_003_07-24.jpg	Hummingbird	24.5	20.0-25.0	high	Angling	F	4
HB_AN_003.jpg	Hummingbird	24.5	20.0-25.0	high	Angling	M	4
HB_AN_004_07-24.jpg	Hummingbird	24.5	20.0-25.0	high	Angling	M	4
HB_AN_004.jpg	Hummingbird	24.5	20.0-25.0	high	Angling	M	4
HB_AN_005_07-24.jpg	Hummingbird	24.5	20.0-25.0	high	Angling	F	4
HB_AN_005.jpg	Hummingbird	24.5	20.0-25.0	high	Angling	F	4
HB_AN_006_07-24.jpg	Hummingbird	24.5	20.0-25.0	high	Angling	F	4
HB_AN_006.jpg	Hummingbird	24.5	20.0-25.0	high	Angling	F	4
HB_AN_007_07-24.jpg	Hummingbird	24.5	20.0-25.0	high	Angling	M	4
HB_AN_007.jpg	Hummingbird	24.5	20.0-25.0	high	Angling	F	4
HB_AN_008_07-24.jpg	Hummingbird	24.5	20.0-25.0	high	Angling	F	4
HB_AN_008.jpg	Hummingbird	24.5	20.0-25.0	high	Angling	F	4
HB_AN_009_07-24.jpg	Hummingbird	24.5	20.0-25.0	high	Angling	F	4
HB_AN_009.jpg	Hummingbird	24.5	20.0-25.0	high	Angling	M	4
HB_AN_010_07-24.jpg	Hummingbird	24.5	20.0-25.0	high	Angling	M	4
HB_AN_010.jpg	Hummingbird	24.5	20.0-25.0	high	Angling	M	4
HB_AN_011_07-24.jpg	Hummingbird	24.5	20.0-25.0	high	Angling	F	4
HB_AN_011.jpg	Hummingbird	24.5	20.0-25.0	high	Angling	M	4
HB_AN_012_07-24.jpg	Hummingbird	24.5	20.0-25.0	high	Angling	F	4
HB_AN_012.jpg	Hummingbird	24.5	20.0-25.0	high	Angling	M	4
HB_AN_013_07-24.jpg	Hummingbird	24.5	20.0-25.0	high	Angling	M	4
HB_AN_014_07-24.jpg	Hummingbird	24.5	20.0-25.0	high	Angling	M	4
HB_AN_015_07-24.jpg	Hummingbird	24.5	20.0-25.0	high	Angling	M	4
HB_FN3_001.jpg	Hummingbird	24.5	20.0-25.0	high	Fyke_Net	F	4
HB_FN9_001.jpg	Hummingbird	24.5	20.0-25.0	high	Fyke_Net	M	4
HB_FN9_002.jpg	Hummingbird	24.5	20.0-25.0	high	Fyke_Net	M	4
LC_Electro1_001.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	F	7
LC_Electro1_002.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	U	7
LC_Electro1_003.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	F	7
LC_Electro1_004.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	F	7
LC_Electro1_005.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	F	7
LC_Electro1_006.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	M	7
LC_Electro1_007.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	F	7
LC_Electro1_008.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	F	7
LC_Electro1_009.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	F	7
LC_Electro1_010.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	F	7
LC_Electro1_011.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	F	7
LC_Electro1_012.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	M	7
LC_Electro1_013.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	U	7
LC_Electro1_014.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	U	7
LC_Electro1_015.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	U	7
LC_Electro1_016.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	F	7
LC_Electro1_017.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	M	7
LC_Electro1_018.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	M	7
LC_Electro1_019.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	M	7
LC_Electro1_020.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	M	7
LC_Electro1_021.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	F	7
LC_Electro1_022.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	F	7
LC_Electro1_023.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	U	7
LC_Electro1_024.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	M	7
LC_Electro1_025.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	U	7
LC_Electro1_026.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	M	7
LC_Electro1_027.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	M	7
LC_Electro1_028.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	U	7
LC_Electro2_001.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	U	7
LC_Electro3_001.jpg	Little_Crooked	4.0675	0-5.0	low	Electrofishing	U	7
LT_Electro_1.jpg	Lost	4.02	0-5.0	low	Electrofishing	U	7
LT_Electro_10.jpg	Lost	4.02	0-5.0	low	Electrofishing	U	7
LT_Electro_11.jpg	Lost	4.02	0-5.0	low	Electrofishing	U	7
LT_Electro_12.jpg	Lost	4.02	0-5.0	low	Electrofishing	U	7
LT_Electro_13.jpg	Lost	4.02	0-5.0	low	Electrofishing	U	7
LT_Electro_14.jpg	Lost	4.02	0-5.0	low	Electrofishing	U	7
LT_Electro_15.jpg	Lost	4.02	0-5.0	low	Electrofishing	U	7
LT_Electro_2.jpg	Lost	4.02	0-5.0	low	Electrofishing	U	7
LT_Electro_3.jpg	Lost	4.02	0-5.0	low	Electrofishing	U	7
LT_Electro_4.jpg	Lost	4.02	0-5.0	low	Electrofishing	U	7
LT_Electro_5.jpg	Lost	4.02	0-5.0	low	Electrofishing	U	7
LT_Electro_6.jpg	Lost	4.02	0-5.0	low	Electrofishing	U	7
LT_Electro_7.jpg	Lost	4.02	0-5.0	low	Electrofishing	U	7
LT_Electro_8.jpg	Lost	4.02	0-5.0	low	Electrofishing	U	7
LT_Electro_9.jpg	Lost	4.02	0-5.0	low	Electrofishing	U	7
LT_FN_001_06-05.jpg	Lost	4.02	0-5.0	low	Fyke_Net	U	7
LT_FN_002_06-05.jpg	Lost	4.02	0-5.0	low	Fyke_Net	U	7
LT_FN_003_06-05.jpg	Lost	4.02	0-5.0	low	Fyke_Net	U	7
LT_FN_004_06-05.jpg	Lost	4.02	0-5.0	low	Fyke_Net	U	7
LT_FN_005_06-05.jpg	Lost	4.02	0-5.0	low	Fyke_Net	U	7
LT_FN_006_06-05.jpg	Lost	4.02	0-5.0	low	Fyke_Net	U	7
LT_FN_007_06-05.jpg	Lost	4.02	0-5.0	low	Fyke_Net	U	7
LT_FN_008_06-05.jpg	Lost	4.02	0-5.0	low	Fyke_Net	U	7
LT_FN_009_06-05.jpg	Lost	4.02	0-5.0	low	Fyke_Net	F	7
LT_FN_010_06-05.jpg	Lost	4.02	0-5.0	low	Fyke_Net	U	7
LT_FN_011_06-05.jpg	Lost	4.02	0-5.0	low	Fyke_Net	U	7
LT_FN_012_06-05.jpg	Lost	4.02	0-5.0	low	Fyke_Net	U	7
LT_FN_013_06-05.jpg	Lost	4.02	0-5.0	low	Fyke_Net	U	7
LT_FN_014_06-05.jpg	Lost	4.02	0-5.0	low	Fyke_Net	U	7
LT_FN_015_06-05.jpg	Lost	4.02	0-5.0	low	Fyke_Net	M	7
MC_FN7_001.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	M	4
MC_FN7_002.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	M	4
MC_FN7_003.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	F	4
MC_FN7_004.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	F	4
MC_FN7_005.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	F	4
MC_FN7_006.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	M	4
MC_FN7_007.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	M	4
MC_FN7_008.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	F	4
MC_FN7_009.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	F	4
MC_FN7_010.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	M	4
MC_FN7_011.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	F	4
MC_FN7_012.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	M	4
MC_FN7_013.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	F	4
MC_FN7_014.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	M	4
MC_FN7_015.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	M	4
MC_FN8_001.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	F	4
MC_FN8_002.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	F	4
MC_FN8_003.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	F	4
MC_FN8_004.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	F	4
MC_FN8_005.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	F	4
MC_FN8_006.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	F	4
MC_FN8_007.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	F	4
MC_FN8_008.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	F	4
MC_FN8_009.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	F	4
MC_FN8_010.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net		4
MC_FN8_011.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	M	4
MC_FN8_012.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	M	4
MC_FN8_013.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	M	4
MC_FN8_014.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	M	4
MC_FN8_015.jpg	McCullough	14.3	10.0-15.0	high	Fyke_Net	M	4
MK_Electro_001.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	M	7
MK_Electro_002.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	U	7
MK_Electro_003.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	U	7
MK_Electro_004.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	U	7
MK_Electro_005.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	U	7
MK_Electro_006.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	U	7
MK_Electro_007.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	U	7
MK_Electro_008.jpg	Muskellunge	6.655	5.0-10.0	low	Electrofishing	U	7
